"LibraryName", "LibraryPath", "LibraryPathGeneric", "ExecutableName", "ExecutablePath", "ExecutablePathGeneric", "Type"
"glib-2.0.dll","C:\Program Files\VMware\VMware Tools\glib-2.0.dll","%PROGRAMFILES%\VMware\VMware Tools\glib-2.0.dll","VMwareXferlogs.exe","C:\Program Files\VMware\VMware Tools\VMwareXferlogs.exe","%PROGRAMFILES%\VMware\VMware Tools\VMwareXferlogs.exe","Sideloading"
"glib-2.0.dll","C:\Program Files\VMware\VMware Workstation\glib-2.0.dll","%PROGRAMFILES%\VMware\VMware Workstation\glib-2.0.dll","VMwareXferlogs.exe","C:\Program Files\VMware\VMware Tools\VMwareXferlogs.exe","%PROGRAMFILES%\VMware\VMware Tools\VMwareXferlogs.exe","Sideloading"
"glib-2.0.dll","C:\Program Files\VMware\VMware Player\glib-2.0.dll","%PROGRAMFILES%\VMware\VMware Player\glib-2.0.dll","VMwareXferlogs.exe","C:\Program Files\VMware\VMware Tools\VMwareXferlogs.exe","%PROGRAMFILES%\VMware\VMware Tools\VMwareXferlogs.exe","Sideloading"
"shfolder.dll","C:\Windows\System32\shfolder.dll","%SYSTEM32%\shfolder.dll","VMNat.exe","C:\Windows\System32\VMNat.exe","%SYSTEM32%\VMNat.exe","Sideloading"
"shfolder.dll","C:\Windows\SysWOW64\shfolder.dll","%SYSWOW64%\shfolder.dll","VMNat.exe","C:\Windows\System32\VMNat.exe","%SYSTEM32%\VMNat.exe","Sideloading"
"libcrypto-3-x64.dll","C:\Program Files\VMware\VMware Workstation\x64\libcrypto-3-x64.dll","%PROGRAMFILES%\VMware\VMware Workstation\x64\libcrypto-3-x64.dll","vmware-vmx.exe","C:\Program Files\VMware\VMware Workstation\x64\vmware-vmx.exe","%PROGRAMFILES%\VMware\VMware Workstation\x64\vmware-vmx.exe","Sideloading"
"libcrypto-3-x64.dll","C:\Program Files\VMware\VMware Workstation\libcrypto-3-x64.dll","%PROGRAMFILES%\VMware\VMware Workstation\libcrypto-3-x64.dll","vmware-vmx.exe","C:\Program Files\VMware\VMware Workstation\x64\vmware-vmx.exe","%PROGRAMFILES%\VMware\VMware Workstation\x64\vmware-vmx.exe","Sideloading"
"vmtools.dll","C:\Program Files\VMware\VMware Tools\vmtools.dll","%PROGRAMFILES%\VMware\VMware Tools\vmtools.dll","rvmSetup.exe","C:\Program Files\VMware\VMware Tools\rvmSetup.exe","%PROGRAMFILES%\VMware\VMware Tools\rvmSetup.exe","Sideloading"
"vmtools.dll","C:\Program Files\VMware\VMware Workstation\vmtools.dll","%PROGRAMFILES%\VMware\VMware Workstation\vmtools.dll","rvmSetup.exe","C:\Program Files\VMware\VMware Tools\rvmSetup.exe","%PROGRAMFILES%\VMware\VMware Tools\rvmSetup.exe","Sideloading"
"vmtools.dll","C:\Program Files\VMware\VMware Player\vmtools.dll","%PROGRAMFILES%\VMware\VMware Player\vmtools.dll","rvmSetup.exe","C:\Program Files\VMware\VMware Tools\rvmSetup.exe","%PROGRAMFILES%\VMware\VMware Tools\rvmSetup.exe","Sideloading"
"dtlcrashcatch.dll","C:\Program Files\dtlsoft\drivethelife\dtlcrashcatch.dll","%PROGRAMFILES%\dtlsoft\drivethelife\dtlcrashcatch.dll","dtlupdate.exe","C:\Program Files\dtlsoft\drivethelife\dtlupdate.exe","%PROGRAMFILES%\dtlsoft\drivethelife\dtlupdate.exe","Sideloading"
"tts.dll","C:\Program Files\Soundpad\tts.dll","%PROGRAMFILES%\Soundpad\tts.dll","Soundpad.exe","C:\Program Files\Soundpad\Soundpad.exe","%PROGRAMFILES%\Soundpad\Soundpad.exe","Sideloading"
"badata_x64.dll","C:\Program Files\True Burner\badata_x64.dll","%PROGRAMFILES%\True Burner\badata_x64.dll","TrueBurner.exe","C:\Program Files\True Burner\TrueBurner.exe","%PROGRAMFILES%\True Burner\TrueBurner.exe","Sideloading"
"mozglue.dll","C:\Program Files\SeaMonkey\mozglue.dll","%PROGRAMFILES%\SeaMonkey\mozglue.dll","seamonkey.exe","C:\Program Files\SeaMonkey\seamonkey.exe","%PROGRAMFILES%\SeaMonkey\seamonkey.exe","Sideloading"
"mozglue.dll","C:\Program Files\Mozilla Firefox\mozglue.dll","%PROGRAMFILES%\Mozilla Firefox\mozglue.dll","seamonkey.exe","C:\Program Files\SeaMonkey\seamonkey.exe","%PROGRAMFILES%\SeaMonkey\seamonkey.exe","Sideloading"
"mozglue.dll","C:\Program Files\Mozilla Thunderbird\mozglue.dll","%PROGRAMFILES%\Mozilla Thunderbird\mozglue.dll","seamonkey.exe","C:\Program Files\SeaMonkey\seamonkey.exe","%PROGRAMFILES%\SeaMonkey\seamonkey.exe","Sideloading"
"duilib_u.dll","C:\Program Files\AnyViewer\duilib_u.dll","%PROGRAMFILES%\AnyViewer\duilib_u.dll","SplashWin.exe","","","Sideloading"
"epnsm.dll","C:\Program Files\Epson Software\Document Capture Server\epnsm.dll","%PROGRAMFILES%\Epson Software\Document Capture Server\epnsm.dll","EEventManager.exe","C:\Program Files\Epson Software\Document Capture Server\EEventManager.exe","%PROGRAMFILES%\Epson Software\Document Capture Server\EEventManager.exe","Sideloading"
"epnsm.dll","C:\Program Files\Epson Software\Event Manager\epnsm.dll","%PROGRAMFILES%\Epson Software\Event Manager\epnsm.dll","EEventManager.exe","C:\Program Files\Epson Software\Document Capture Server\EEventManager.exe","%PROGRAMFILES%\Epson Software\Document Capture Server\EEventManager.exe","Sideloading"
"ccleanerreactivator.dll","C:\Program Files\CCleaner\ccleanerreactivator.dll","%PROGRAMFILES%\CCleaner\ccleanerreactivator.dll","CCleanerReactivator.exe","C:\Program Files\CCleaner\CCleanerReactivator.exe","%PROGRAMFILES%\CCleaner\CCleanerReactivator.exe","Sideloading"
"zlibwapi.dll","C:\Program Files\DS Clock\zlibwapi.dll","%PROGRAMFILES%\DS Clock\zlibwapi.dll","dsclock.exe","C:\Program Files\DS Clock\dsclock.exe","%PROGRAMFILES%\DS Clock\dsclock.exe","Sideloading"
"libsqlite3-0.dll","C:\Program Files\libsqlite3-0.dll","%PROGRAMFILES%\libsqlite3-0.dll","filezilla.exe","C:\Program Files\FileZilla FTP Client\filezilla.exe","%PROGRAMFILES%\FileZilla FTP Client\filezilla.exe","Sideloading"
"libcurl.dll","C:\Program Files\Notepad++\updater\libcurl.dll","%PROGRAMFILES%\Notepad++\updater\libcurl.dll","GUP.exe","C:\Program Files\Notepad++\updater\GUP.exe","%PROGRAMFILES%\Notepad++\updater\GUP.exe","Sideloading"
"libcurl.dll","C:\Program Files\Notepad++\updater\libcurl.dll","%PROGRAMFILES%\Notepad++\updater\libcurl.dll","Coolmuster PDF Creator Pro.exe","C:\Program Files\Coolmuster\Coolmuster PDF Creator Pro\%VERSION%\Bin\Coolmuster PDF Creator Pro.exe","%PROGRAMFILES%\Coolmuster\Coolmuster PDF Creator Pro\%VERSION%\Bin\Coolmuster PDF Creator Pro.exe","Sideloading"
"libcurl.dll","C:\Program Files\WindowsApps\MSTeams_%VERSION%\libcurl.dll","%PROGRAMFILES%\WindowsApps\MSTeams_%VERSION%\libcurl.dll","GUP.exe","C:\Program Files\Notepad++\updater\GUP.exe","%PROGRAMFILES%\Notepad++\updater\GUP.exe","Sideloading"
"libcurl.dll","C:\Program Files\WindowsApps\MSTeams_%VERSION%\libcurl.dll","%PROGRAMFILES%\WindowsApps\MSTeams_%VERSION%\libcurl.dll","Coolmuster PDF Creator Pro.exe","C:\Program Files\Coolmuster\Coolmuster PDF Creator Pro\%VERSION%\Bin\Coolmuster PDF Creator Pro.exe","%PROGRAMFILES%\Coolmuster\Coolmuster PDF Creator Pro\%VERSION%\Bin\Coolmuster PDF Creator Pro.exe","Sideloading"
"libcurl.dll","C:\Program Files\Coolmuster\Coolmuster PDF Creator Pro\%VERSION%\Bin\libcurl.dll","%PROGRAMFILES%\Coolmuster\Coolmuster PDF Creator Pro\%VERSION%\Bin\libcurl.dll","GUP.exe","C:\Program Files\Notepad++\updater\GUP.exe","%PROGRAMFILES%\Notepad++\updater\GUP.exe","Sideloading"
"libcurl.dll","C:\Program Files\Coolmuster\Coolmuster PDF Creator Pro\%VERSION%\Bin\libcurl.dll","%PROGRAMFILES%\Coolmuster\Coolmuster PDF Creator Pro\%VERSION%\Bin\libcurl.dll","Coolmuster PDF Creator Pro.exe","C:\Program Files\Coolmuster\Coolmuster PDF Creator Pro\%VERSION%\Bin\Coolmuster PDF Creator Pro.exe","%PROGRAMFILES%\Coolmuster\Coolmuster PDF Creator Pro\%VERSION%\Bin\Coolmuster PDF Creator Pro.exe","Sideloading"
"skinutils.dll","C:\Program Files\ICQLite\skinutils.dll","%PROGRAMFILES%\ICQLite\skinutils.dll","ICQLite.exe","C:\Program Files\ICQLite\ICQLite.exe","%PROGRAMFILES%\ICQLite\ICQLite.exe","Sideloading"
"liteskinutils.dll","C:\Program Files\ICQLite\liteskinutils.dll","%PROGRAMFILES%\ICQLite\liteskinutils.dll","ICQLite.exe","C:\Program Files\ICQLite\ICQLite.exe","%PROGRAMFILES%\ICQLite\ICQLite.exe","Sideloading"
"commfunc.dll","C:\Program Files\Lenovo\Communications Utility\commfunc.dll","%PROGRAMFILES%\Lenovo\Communications Utility\commfunc.dll","cammute.exe","","","Sideloading"
"bugsplat64.dll","C:\Program Files\Nitro\PDF Pro\\bugsplat64.dll","%PROGRAMFILES%\Nitro\PDF Pro\\bugsplat64.dll","BugSplatHD64.exe","","","Sideloading"
"bugsplat64.dll","C:\Program Files\Nitro\Pro\bugsplat64.dll","%PROGRAMFILES%\Nitro\Pro\bugsplat64.dll","BugSplatHD64.exe","","","Sideloading"
"fnp_act_installer.dll","C:\Program Files\InstallShield\%VERSION%\System\fnp_act_installer.dll","%PROGRAMFILES%\InstallShield\%VERSION%\System\fnp_act_installer.dll","TSConfig.exe","C:\Program Files\InstallShield\%VERSION%\System\TSConfig.exe","%PROGRAMFILES%\InstallShield\%VERSION%\System\TSConfig.exe","Sideloading"
"fnp_act_installer.dll","C:\Program Files\InstallShield\%VERSION%\System\fnp_act_installer.dll","%PROGRAMFILES%\InstallShield\%VERSION%\System\fnp_act_installer.dll","ISDbg.exe","C:\Program Files\InstallShield\%VERSION%\System\ISDbg.exe","%PROGRAMFILES%\InstallShield\%VERSION%\System\ISDbg.exe","Sideloading"
"opera_elf.dll","C:\Users\<User>\AppData\Local\Programs\Opera\%VERSION%\opera_elf.dll","%LOCALAPPDATA%\Programs\Opera\%VERSION%\opera_elf.dll","opera.exe","C:\Users\<User>\AppData\Local\programs\opera\%VERSION%\opera.exe","%LOCALAPPDATA%\programs\opera\%VERSION%\opera.exe","Sideloading"
"opera_elf.dll","C:\Users\<User>\AppData\Local\Programs\Opera GX\%VERSION%\opera_elf.dll","%LOCALAPPDATA%\Programs\Opera GX\%VERSION%\opera_elf.dll","opera.exe","C:\Users\<User>\AppData\Local\programs\opera\%VERSION%\opera.exe","%LOCALAPPDATA%\programs\opera\%VERSION%\opera.exe","Sideloading"
"opera_elf.dll","C:\Program Files\Opera\%VERSION%\opera_elf.dll","%PROGRAMFILES%\Opera\%VERSION%\opera_elf.dll","opera.exe","C:\Users\<User>\AppData\Local\programs\opera\%VERSION%\opera.exe","%LOCALAPPDATA%\programs\opera\%VERSION%\opera.exe","Sideloading"
"avkkid.dll","C:\Program Files\G DATA\TotalSecurity\avkkid\avkkid.dll","%PROGRAMFILES%\G DATA\TotalSecurity\avkkid\avkkid.dll","avkkid.exe","C:\Program Files\G DATA\TotalSecurity\avkkid\avkkid.exe","%PROGRAMFILES%\G DATA\TotalSecurity\avkkid\avkkid.exe","Sideloading"
"facesdk.dll","C:\Program Files\luxand\facesdk\bin\win64\facesdk.dll","%PROGRAMFILES%\luxand\facesdk\bin\win64\facesdk.dll","FacialFeatureDemo.exe","C:\Program Files\luxand\facesdk\bin\win64\FacialFeatureDemo.exe","%PROGRAMFILES%\luxand\facesdk\bin\win64\FacialFeatureDemo.exe","Sideloading"
"qrt.dll","C:\Program Files\F-Secure\Anti-Virus\qrt.dll","%PROGRAMFILES%\F-Secure\Anti-Virus\qrt.dll","qrtfix.exe","","","Sideloading"
"teamspeak_control.dll","C:\Program Files\Common Files\Overwolf\Teamspeak\teamspeak_control.dll","%PROGRAMFILES%\Common Files\Overwolf\Teamspeak\teamspeak_control.dll","OverwolfTSHelper.exe","","","Sideloading"
"lockdown.dll","C:\Program Files\McAfee\VirusScan Enterprise\lockdown.dll","%PROGRAMFILES%\McAfee\VirusScan Enterprise\lockdown.dll","mfeann.exe","","","Sideloading"
"ashldres.dll","C:\Program Files\McAfee.com\VSO\ashldres.dll","%PROGRAMFILES%\McAfee.com\VSO\ashldres.dll","mcvsshld.exe","","","Sideloading"
"mcutil.dll","C:\Program Files\McAfee Inc.\McAfee Total Protection 2009\mcutil.dll","%PROGRAMFILES%\McAfee Inc.\McAfee Total Protection 2009\mcutil.dll","mcoemcpy.exe","","","Sideloading"
"siteadv.dll","C:\Program Files\SiteAdvisor\%VERSION%\siteadv.dll","%PROGRAMFILES%\SiteAdvisor\%VERSION%\siteadv.dll","sideadv.exe","","","Sideloading"
"vsodscpl.dll","C:\Program Files\McAfee\VirusScan Enterprise\vsodscpl.dll","%PROGRAMFILES%\McAfee\VirusScan Enterprise\vsodscpl.dll","scncfg32.exe","","","Sideloading"
"flutter_gpu_texture_renderer_plugin.dll","C:\Users\<User>\AppData\Local\rustdesk\flutter_gpu_texture_renderer_plugin.dll","%LOCALAPPDATA%\rustdesk\flutter_gpu_texture_renderer_plugin.dll","rustdesk.exe","C:\Users\<User>\AppData\Local\rustdesk\rustdesk.exe","%LOCALAPPDATA%\rustdesk\rustdesk.exe","Sideloading"
"flutter_gpu_texture_renderer_plugin.dll","C:\Program Files\RustDesk\flutter_gpu_texture_renderer_plugin.dll","%PROGRAMFILES%\RustDesk\flutter_gpu_texture_renderer_plugin.dll","rustdesk.exe","C:\Users\<User>\AppData\Local\rustdesk\rustdesk.exe","%LOCALAPPDATA%\rustdesk\rustdesk.exe","Sideloading"
"hpbprndiloc.dll","C:\Program Files\Hewlett-Packard\%VERSION%\hpbprndiloc.dll","%PROGRAMFILES%\Hewlett-Packard\%VERSION%\hpbprndiloc.dll","hpbprndi.exe","","","Sideloading"
"hpqhvsei.dll","C:\Program Files\HP\hpqhvsei.dll","%PROGRAMFILES%\HP\hpqhvsei.dll","hpqhvind.exe","","","Sideloading"
"hpcustpartui.dll","C:\Program Files\HP\hpcustpartui.dll","%PROGRAMFILES%\HP\hpcustpartui.dll","HPCustParticUI.exe","","","Sideloading"
"common.dll","C:\Program Files\iroot\common.dll","%PROGRAMFILES%\iroot\common.dll","romasterconnection.exe","C:\Program Files\iroot\romasterconnection.exe","%PROGRAMFILES%\iroot\romasterconnection.exe","Sideloading"
"chrome_frame_helper.dll","C:\Users\<User>\AppData\Local\Google\Chrome\Application\chrome_frame_helper.dll","%LOCALAPPDATA%\Google\Chrome\Application\chrome_frame_helper.dll","chrome_frame_helper.exe","","","Sideloading"
"chrome_frame_helper.dll","C:\Program Files\Google\Chrome\Application\chrome_frame_helper.dll","%PROGRAMFILES%\Google\Chrome\Application\chrome_frame_helper.dll","chrome_frame_helper.exe","","","Sideloading"
"smadhook32c.dll","C:\Program Files\Smadav\smadhook32c.dll","%PROGRAMFILES%\Smadav\smadhook32c.dll","SmadHook.exe","C:\Program Files\Smadav\SmadHook.exe","%PROGRAMFILES%\Smadav\SmadHook.exe","Sideloading"
"wxmsw313u_aui_vc_custom.dll","C:\Program Files\Audacity\wxmsw313u_aui_vc_custom.dll","%PROGRAMFILES%\Audacity\wxmsw313u_aui_vc_custom.dll","audacity.exe","C:\Program Files\Audacity\audacity.exe","%PROGRAMFILES%\Audacity\audacity.exe","Sideloading"
"avutil.dll","C:\Program Files\VSO\ConvertX\7\avutil.dll","%PROGRAMFILES%\VSO\ConvertX\7\avutil.dll","ConvertXToDVD.exe","C:\Program Files\VSO\ConvertX\7\ConvertXToDVD.exe","%PROGRAMFILES%\VSO\ConvertX\7\ConvertXToDVD.exe","Sideloading"
"avutil.dll","C:\Program Files\VSO\convertXtoDVD\avutil.dll","%PROGRAMFILES%\VSO\convertXtoDVD\avutil.dll","ConvertXToDVD.exe","C:\Program Files\VSO\ConvertX\7\ConvertXToDVD.exe","%PROGRAMFILES%\VSO\ConvertX\7\ConvertXToDVD.exe","Sideloading"
"avutil.dll","C:\Program Files\Common Files\Oracle\Java\javapath\avutil.dll","%PROGRAMFILES%\Common Files\Oracle\Java\javapath\avutil.dll","ConvertXToDVD.exe","C:\Program Files\VSO\ConvertX\7\ConvertXToDVD.exe","%PROGRAMFILES%\VSO\ConvertX\7\ConvertXToDVD.exe","Sideloading"
"rtl120.dll","C:\Program Files\DualSafe Password Manager\rtl120.dll","%PROGRAMFILES%\DualSafe Password Manager\rtl120.dll","DPMInit.exe","C:\Program Files\DualSafe Password Manager\DPMInit.exe","%PROGRAMFILES%\DualSafe Password Manager\DPMInit.exe","Sideloading"
"webui.dll","C:\Program Files\iTop Screen Recorder\webui.dll","%PROGRAMFILES%\iTop Screen Recorder\webui.dll","iScrPaint.exe","C:\Program Files\iTop Screen Recorder\iScrPaint.exe","%PROGRAMFILES%\iTop Screen Recorder\iScrPaint.exe","Sideloading"
"avdevice-54.dll","C:\Program Files\AnyMP4 Studio\AnyMP4 Blu-ray Creator\avdevice-54.dll","%PROGRAMFILES%\AnyMP4 Studio\AnyMP4 Blu-ray Creator\avdevice-54.dll","AnyMP4 Blu-ray Creator.exe","C:\Program Files\AnyMP4 Studio\AnyMP4 Blu-ray Creator\AnyMP4 Blu-ray Creator.exe","%PROGRAMFILES%\AnyMP4 Studio\AnyMP4 Blu-ray Creator\AnyMP4 Blu-ray Creator.exe","Sideloading"
"nvsmartmax.dll","C:\Program Files\NVIDIA Corporation\Display\nvsmartmax.dll","%PROGRAMFILES%\NVIDIA Corporation\Display\nvsmartmax.dll","nvSmartEx.exe","C:\Program Files\NVIDIA Corporation\Display\nvSmartEx.exe","%PROGRAMFILES%\NVIDIA Corporation\Display\nvSmartEx.exe","Sideloading"
"sqlite.dll","C:\Program Files\NetWorx\sqlite.dll","%PROGRAMFILES%\NetWorx\sqlite.dll","networx.exe","C:\Program Files\NetWorx\networx.exe","%PROGRAMFILES%\NetWorx\networx.exe","Sideloading"
"register.dll","C:\Program Files\IObit\Driver Booster\%VERSION%\register.dll","%PROGRAMFILES%\IObit\Driver Booster\%VERSION%\register.dll","DriverBooster.exe","C:\Program Files\IObit\Driver Booster\%VERSION%\DriverBooster.exe","%PROGRAMFILES%\IObit\Driver Booster\%VERSION%\DriverBooster.exe","Sideloading"
"safestore32.dll","C:\Program Files\Sophos\Sophos Anti-Virus\safestore32.dll","%PROGRAMFILES%\Sophos\Sophos Anti-Virus\safestore32.dll","ssr32.exe","C:\Program Files\Sophos\Sophos Anti-Virus\ssr32.exe","%PROGRAMFILES%\Sophos\Sophos Anti-Virus\ssr32.exe","Sideloading"
"mediainfo_i386.dll","C:\Program Files\MediaInfo\mediainfo_i386.dll","%PROGRAMFILES%\MediaInfo\mediainfo_i386.dll","MediaInfo.exe","C:\Program Files\MediaInfo\MediaInfo.exe","%PROGRAMFILES%\MediaInfo\MediaInfo.exe","Sideloading"
"lmiguardiandll.dll","C:\Program Files\LogMeIn\lmiguardiandll.dll","%PROGRAMFILES%\LogMeIn\lmiguardiandll.dll","LMIGuardianSvc.exe","","","Sideloading"
"lmiguardiandll.dll","C:\Program Files\LogMeIn\x86\lmiguardiandll.dll","%PROGRAMFILES%\LogMeIn\x86\lmiguardiandll.dll","LMIGuardianSvc.exe","","","Sideloading"
"lmiguardiandll.dll","C:\Program Files\LogMeIn\x64\lmiguardiandll.dll","%PROGRAMFILES%\LogMeIn\x64\lmiguardiandll.dll","LMIGuardianSvc.exe","","","Sideloading"
